Smiles,PIC50
CN(C)N1C(=O)C2=C3C4=C(C(=CC=C4)O)NC3=C5C(=C2C1=O)C6=C(N5C7C(C(C(C(O7)CO)O)O)O)C(=CC=C6)O,5.795880017
CC1=C(N=NN1C2=CC=C(C=C2)F)/C(=N/NC3=NC(=CS3)C4=CC=C(C=C4)Cl)/C,7.301029996
CC(=C(C1=CC(=C(C=C1)OC)O)C2=CC(=CC(=C2)OC)OC)C,6.013228266
COC1=CC2=C(C(=C1)OC)C(=O)NC(=N2)C3=CC=C(C=C3)OCCCCCCCC(=O)NO,6.536107011
COC(=O)[C@H](CC1=CNC2=CC=CC=C21)NC(=O)CCCCCCC(=O)NO,6.494850022
CC(C)C[C@@H](C(=O)C(=O)NC1=CC=CC(=C1)C(=O)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC2=CC=CC=C2,7.655607726
COC1=CC2=C(C(=C1)OC)C(=O)NC(=N2)C3=CC=C(C=C3)OCCCCC(=O)NO,6.536107011
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C=CC=C4C3=N2)CO,6.373659633
CC(=O)OCC(=O)N(C)C1=CC=CC=C1C2=CN=C(O2)NC3=CC4=C(C=C3)C(=CN4C)C#N,6.575118363
COC1=CC2=C(CC3=C(NN=C32)/C=C/C(=O)C4=CC(=C(C=C4)OC)OC)C=C1,5.348721986
C1CCN2C(=C(C3=C2C(=NC(=N3)C4=CC=CC=C4)N5CCN(CC5)CCC6=CC=CC=C6)C#N)C1,6.145693958
CCC(C1=NC2=C(C(=O)N1CC3=CSC=N3)SC=C2)N(CCCN)C(=O)C4=CC=C(C=C4)C,5.041436117
CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)OCC5=CC(=CC=C5)C#N)CN6CC(C6)C(=O)O)Cl,7.838631998
C1=CC(=CC(=C1)O)N2C3=C(C=CC(=C3)C#N)C=C4C2=NC(=O)N(C4=O)C5=CC(=C(C=C5)Cl)Cl,7.853871964
CC(=CCC[C@]\1(C/C=C(\C(=O)/C=C/[C@@]([C@@H](/C=C1)OC(=O)C=C(C)C)(C)O)/CN=[N+]=[N-])C)C,6.040958608
COC1=CC(=CC(=C1OC)OC)C2CN=C(O2)C3=CC4=C(C=C3)N(C=C4)S(=O)(=O)C,5.087246696
CC1=C(NC2=C1C(=NC=N2)NC3=CC(=CC=C3)Cl)C4=CC=CC=C4,8
CC(C)(C1=CC2=C(C=C1)[C@@](N(C2=O)CC3=CC=C(C=C3)Cl)(C4=CC=C(C=C4)Cl)O[C@H]5CCOC5)O,7.387216143
CCN/C=C/1\C2=C(C(=O)C3=C([C@]2([C@H](OC1=O)COC)C)[C@@H](C[C@]4([C@H]3CC[C@@H]4O)C)OC(=O)C)O,5.150764909
C[C@]12CC[C@H]3[C@@]4(C=CC(=O)C(=C)[C@H]4CC[C@@]3(C1)C(=C)C2=O)C,6.397940009
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC4=C(C=C3)C(=CC=C4)C(=O)NC5CC5,9.219970873
CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4CN(C(=O)N(C4=N3)C5=CC=CC(=C5)NC(=O)C=C)C)OC,7.744727495
CC1=CC2=C(NC(=CC2=O)C3=CC(=CC=C3)F)N=C1,6.200659451
CN1CC(C1)NC(=O)C2=CC(=CC=C2)NC3=NC4=NC5=C(CCCCC(=O)NC6=CC=CC(=C6)N4)C=NN53,6.568636236
CC1=NC2=C(C=C(C=C2Br)Br)C(=O)N1CC(=O)NNC(=S)NC3=CC=CC=C3,6.356547324
CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)N(N=C4N)C,8.096910013
CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)OCC5=CC(=CC=C5)C#N)CN6CC(C6)(C)O)Cl,8
CCC(=O)N1CC[C@@H](C1)N2C3=NC(=NC=C3CN(C2=O)C4=CC(=CC=C4)Cl)NC5=CC(=C(C=C5)N6CCN(CC6)C)C,7.879426069
C1CCN(CC1)CCC(=O)NC2=C3C(=C(C=C2)NC(=O)CCN4CCCCC4)C(=O)C5=CC=CC=C5C3=O.Cl,6.537602002
CSC1=NN=C2N1C3=CC=CC=C3C(=O)N2CCC4=CC=CC=C4,4.301029996
C[C@@H]1CN(C[C@@H](O1)C)C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4C[C@@H]5[C@H](C4)OCCO5,5
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=C(SC(=C3)C)C,5.320000084
CN(C)CCNC(=O)C1=C2C(=CC=C1)NC3=CC=C4C(=O)C=CC=C4C3=N2,7.318758763
C1CCC(CC1)C2=CN(N=N2)C3=CC=CC(=C3)NC(=O)CCCCCCC(=O)NO,7.91721463
CC1=CN=C(N=C1NC(C)(C)C2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,6.229147988
CCOC1=CC=C(C=C1)OCC(=O)N(CC(=O)NC2=CN=NC=C2)C(C)C,6.586700236
C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC(=CC(=C3)F)F,8.27572413
C1=CC(=CC=C1C2=CN=CC3=C2C(=NN3)N)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F,8.886056648
C1COCCN1CCN2C(=O)C3=C(C=CC(=C3)F)N4C2=NNC4=S,5.787812396
CN(C)CCN(C)CCC(=O)NC1=C2C3=CC=CC=C3SC2=C(C=C1)C4=CC=CC5=C4OC(=CC5=O)N6CCOCC6,7.107905397
CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)N,6.233587153
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCC=CC2=O,5.42945706
CC(=CCC[C@]\1(C/C=C(\C(=O)/C=C/[C@@]([C@@H](/C=C1)OC(=O)C=C(C)C)(C)O)/CN2C=C(N=N2)CO)C)C,5.494850022
CC1(C2(CCC1(OC2=O)C(=O)O[C@H]3CCC4=CC(=C(C(=C4C5=CC=C(C(=O)C=C35)SC)OC)OC)OC)C)C,5.849999245
C1=CC=C2C=C(C=CC2=C1)C3=CC(=O)C4=C(N3)N=CC(=C4)Cl,5.602059991
CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4CCCCC4,5.167491087
CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N(C=C3CC4=CC=C(C=C4)F)CCCCCC(=O)NO,6.536107011
CC1=C(C=CC(=C1)OCC2=NN=C(N2C3=CN=CC=C3)SC4CCCC4)C5=CC=C(C=C5)S(=O)(=O)C,7.619788758
