Model,Condition,ACC,AUC,MCC,Sensitivity,Specificity,F1,Precision,BAcc,RMSE,MAE,R2
GCN,Random | No Aug,0.9722,0.9933,0.9445,0.9783,0.9661,0.9724,0.9665,0.9722,0.3104,0.1527,0.9315
GCN,Random | Aug,0.9711,0.9931,0.9423,0.9767,0.9656,0.9713,0.9659,0.9711,0.3147,0.1653,0.9296
GCN,Scaffold | No Aug,0.9561,0.9837,0.9122,0.9567,0.9556,0.9561,0.9556,0.9561,0.416,0.2222,0.877
GCN,Scaffold | Aug,0.9564,0.9857,0.9128,0.9506,0.9622,0.9561,0.9618,0.9564,0.3836,0.1889,0.8954
GAT,Random | No Aug,0.9689,0.9936,0.9379,0.9761,0.9617,0.9691,0.9622,0.9689,0.3443,0.2062,0.9157
GAT,Random | Aug,0.9711,0.9936,0.9423,0.9756,0.9667,0.9712,0.967,0.9711,0.2984,0.1378,0.9367
GAT,Scaffold | No Aug,0.9547,0.9824,0.9094,0.9533,0.9561,0.9547,0.956,0.9547,0.4115,0.2317,0.8796
GAT,Scaffold | Aug,0.9575,0.9877,0.9156,0.9756,0.9394,0.9583,0.9416,0.9575,0.3551,0.1643,0.9104
GT,Random | No Aug,0.9714,0.9931,0.9429,0.9794,0.9633,0.9716,0.9639,0.9714,0.3201,0.1649,0.9272
GT,Random | Aug,0.9714,0.9941,0.9428,0.9689,0.9739,0.9713,0.9738,0.9714,0.3067,0.1433,0.9331
GT,Scaffold | No Aug,0.9592,0.987,0.9184,0.9528,0.9656,0.9589,0.9651,0.9592,0.3723,0.1663,0.9015
GT,Scaffold | Aug,0.9564,0.9864,0.9128,0.9528,0.96,0.9562,0.9597,0.9564,0.3723,0.1971,0.9015
MSMP,Random | No Aug,0.9706,0.9931,0.9413,0.98,0.9611,0.9708,0.9618,0.9706,0.3086,0.1444,0.9323
MSMP,Random | Aug,0.9653,0.9912,0.9306,0.9678,0.9628,0.9654,0.963,0.9653,0.4003,0.2723,0.8861
MSMP,Scaffold | No Aug,0.9575,0.9856,0.9151,0.9511,0.9639,0.9572,0.9634,0.9575,0.3663,0.1864,0.9046
MSMP,Scaffold | Aug,0.9567,0.9861,0.9135,0.9483,0.965,0.9563,0.9644,0.9567,0.3675,0.1864,0.904
